name,latitude,longitude,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,00,Distance Score
우성스포츠센터,37.49238614627172,126.90983237468618,2,10,2,4,4,3,2,1,5,3,9,4,8,3,7,9,4,3,6,9,8,6,9,7,0
프레곤빌딩,37.48612718078578,126.90457509912622,1,5,9,1,2,6,6,8,9,10,7,9,9,6,4,2,10,4,4,2,9,8,9,8,0
하림빌딩,37.49428349959237,127.01664600669828,2,10,10,9,5,1,10,8,9,4,6,3,9,5,3,5,8,9,8,2,6,4,10,10,0
크레신타워,37.518195183969375,127.01847813152573,4,8,5,7,6,6,3,9,5,8,8,8,2,2,6,4,6,10,5,2,5,10,8,4,0
한주실업빌딩,37.513500887007005,126.94395989534348,1,6,10,2,6,5,1,8,10,8,5,3,3,10,6,7,10,5,10,7,1,5,8,5,0
백광빌딩,37.48202003578588,126.94944132673054,9,8,3,4,6,9,6,5,6,6,6,5,7,7,8,6,8,2,10,4,7,6,5,10,0
서원빌딩,37.48224135319379,126.94605749195468,3,2,10,2,1,10,6,6,2,4,4,3,5,4,6,8,6,3,7,8,7,1,7,1,0
SC한보건설/귀족,37.527955229634735,127.1206261560178,1,9,3,10,6,2,5,2,2,7,7,1,5,5,7,6,4,4,5,2,4,8,8,6,0
브라운스톤천호,37.53803874941219,127.12382208485906,6,5,3,5,9,8,3,2,6,6,2,4,1,9,2,10,5,1,4,7,2,8,9,4,0
동우빌딩,37.53505026778164,127.13856695580252,4,7,7,3,7,5,4,9,1,8,5,5,4,4,3,6,1,5,2,10,10,2,3,2,0
중부빌딩,37.53467648037231,127.13773224672887,1,4,10,8,9,6,10,5,2,2,1,6,7,5,5,1,6,6,10,6,6,5,7,8,0
일동빌딩,37.53822193303926,127.12627274769704,7,1,6,6,7,7,9,1,3,10,1,9,2,3,8,9,5,3,4,3,3,8,5,9,0
24시목포독천낙지,37.54619034813657,127.12645076662244,7,4,2,3,5,8,6,3,1,4,9,9,2,6,2,10,9,4,6,10,2,3,6,7,0
